regla,H,n_raw,n_indep,p_up,base_up,lift,ci_lo,ci_hi,mean_ret,base_ret,edge_ret,lift_IS,lift_OOS,yrs_ok,n_yrs,signif,universo
C09 3 bajas seguidas & px>ema200,21,18627,6403,0.5866000312353584,0.5894247488840954,-0.0028247176487369297,0.5745379963255255,0.5986620661451914,0.013890734810645388,0.015210966521968631,-0.0013202317113232432,-0.007120402961980465,0.0037022297089635003,0.6470588235294118,17,0.45899772574949954,acciones+ETFs
C10 4+ bajas seguidas,3,15486,9302,0.5693399268974414,0.5430094413145261,0.026330485582915286,0.5592770761958461,0.5794027775990367,0.005597708557659628,0.0021856427279600783,0.00341206582969955,0.029781583219634422,0.022773390873658705,0.8823529411764706,17,5.128541928415227,acciones+ETFs
C10 4+ bajas seguidas,5,15486,8642,0.5657255264984957,0.5523930265640531,0.013332499934442632,0.5552751008620304,0.5761759521349611,0.007099876846481229,0.003626211831220274,0.0034736650152609547,0.016431651102824185,0.010566953703608162,0.7058823529411765,17,2.5005392871582712,acciones+ETFs
C10 4+ bajas seguidas,10,15486,7653,0.5703645629165033,0.5690746346928559,0.0012899282236473741,0.5592736695491684,0.5814554562838382,0.008934376865627631,0.007186599201579938,0.0017477776640476934,-0.007608957435630281,0.01468492208900618,0.4117647058823529,17,0.2279581305681949,acciones+ETFs
C10 4+ bajas seguidas,21,15486,6115,0.5908421913327883,0.5894247488840954,0.0014174424486929071,0.5785185510602242,0.6031658316053523,0.018070545520300588,0.015210966521968631,0.002859578998331957,-0.004253713382953106,0.011337343183082216,0.7647058823529411,17,0.2254355967873495,acciones+ETFs
C11 IBS<0.2 & px>ema200,3,42077,30942,0.555329325835434,0.5430094413145261,0.012319884520907931,0.5497923015409489,0.5608663501299191,0.0028147892634586514,0.0021856427279600783,0.0006291465354985731,0.007556437850535724,0.01937439808931707,0.8235294117647058,17,4.3610019347449525,acciones+ETFs
C11 IBS<0.2 & px>ema200,5,42077,24579,0.5623092884169413,0.5523930265640531,0.009916261852888186,0.5561070956461722,0.5685114811877103,0.004458275597476244,0.003626211831220274,0.0008320637662559702,0.004998840858258746,0.01723797921321757,0.7058823529411765,17,3.1337099554954415,acciones+ETFs
C11 IBS<0.2 & px>ema200,10,42077,16350,0.5744954128440367,0.5690746346928559,0.005420778151180805,0.5669167497923256,0.5820740758957478,0.007490984791076518,0.007186599201579938,0.0003043855894965799,0.006651902819211686,0.0035710655003039493,0.4117647058823529,17,1.4019260526321509,acciones+ETFs
C11 IBS<0.2 & px>ema200,21,42077,9634,0.5920697529582728,0.5894247488840954,0.0026450040741774483,0.5822560673226431,0.6018834385939025,0.014502302472042965,0.015210966521968631,-0.0007086640499256655,0.00438250771657156,0.000264317777491363,0.47058823529411764,17,0.5282630988877374,acciones+ETFs
C12 IBS<0.15 & rsi2<20 & px>ema200,3,12779,10620,0.5591337099811676,0.5430094413145261,0.016124268666641517,0.5496908163518368,0.5685766036104984,0.003012713379854054,0.0021856427279600783,0.0008270706518939755,0.015007721804829122,0.01769872044894194,0.7647058823529411,17,3.3468095508830658,acciones+ETFs
C12 IBS<0.15 & rsi2<20 & px>ema200,5,12779,9638,0.5707615687902055,0.5523930265640531,0.018368542226152362,0.5608796957170691,0.5806434418633418,0.005640199028976883,0.003626211831220274,0.002013987197756609,0.013614035663345292,0.025378060992622187,0.7647058823529411,17,3.6432711184208504,acciones+ETFs
C12 IBS<0.15 & rsi2<20 & px>ema200,10,12779,8036,0.5791438526630164,0.5690746346928559,0.010069217970160471,0.5683495107491644,0.5899381945768684,0.007936748724585505,0.007186599201579938,0.0007501495230055671,0.015283378212864629,0.0022193618655198533,0.5294117647058824,17,1.8283344532739338,acciones+ETFs
C12 IBS<0.15 & rsi2<20 & px>ema200,21,12779,5919,0.5941882074674776,0.5894247488840954,0.00476345858338223,0.5816782380760749,0.6066981768588803,0.014760536174402365,0.015210966521968631,-0.0004504303475662656,0.010420587999229292,-0.0036599057576596206,0.5294117647058824,17,0.7463150813019116,acciones+ETFs
C13 mr_score>0.9,3,25141,11200,0.5636607142857143,0.5430094413145261,0.020651272971188184,0.5544759481746135,0.572845480396815,0.004082211161647251,0.0021856427279600783,0.0018965684336871725,0.030830065973835086,0.007961635978280035,0.9411764705882353,17,4.406916249572073,acciones+ETFs
C13 mr_score>0.9,5,25141,8038,0.5747698432445882,0.5523930265640531,0.02237681668053515,0.5639619490227382,0.5855777374664383,0.005905537564007742,0.003626211831220274,0.0022793257327874683,0.03701458023117721,0.003941205326379094,0.8235294117647058,17,4.058011652740024,acciones+ETFs
C13 mr_score>0.9,10,25141,5364,0.5937733035048471,0.5690746346928559,0.02469866881199123,0.5806299481186088,0.6069166588910855,0.010946269474346319,0.007186599201579938,0.003759670272766381,0.04090317944162991,0.004227254521063428,0.8235294117647058,17,3.683183589647853,acciones+ETFs
C13 mr_score>0.9,21,25141,3737,0.62001605565962,0.5894247488840954,0.030591306775524685,0.6044535825627201,0.63557852875652,0.02078696684777909,0.015210966521968631,0.00557600032581046,0.04063961035540253,0.01739518014362207,0.8235294117647058,17,3.852791320935493,acciones+ETFs
C14 mr_score>0.9 & px>ema200,3,7081,3488,0.5625,0.5430094413145261,0.01949055868547389,0.5460366532526386,0.5789633467473614,0.0027112632484344156,0.0021856427279600783,0.0005256205204743373,0.02002449557915209,0.01616937866051371,0.5882352941176471,17,2.320396673273711,acciones+ETFs
C14 mr_score>0.9 & px>ema200,5,7081,2637,0.571482745544179,0.5523930265640531,0.019089718980125903,0.5525947129042161,0.5903707781841419,0.004774639249099783,0.003626211831220274,0.0011484274178795092,0.023447054741992157,0.007953245895320094,0.5882352941176471,17,1.9809288724905734,acciones+ETFs
C14 mr_score>0.9 & px>ema200,10,7081,1881,0.594896331738437,0.5690746346928559,0.025821697045581127,0.57271102657187,0.6170816369050041,0.010199527131681561,0.007186599201579938,0.0030129279301016236,0.03753616180333175,1.2201448628124112e-06,0.5882352941176471,17,2.2812634682892954,acciones+ETFs
