date,asset,entry,fijo_5d,fijo_10d,fijo_21d,rsi14>70,cierre<ema20,trailing_2.5atr,tp5_sl3,year,period
2011-05-16,AAPL,9.938563857962219,0.007228673800878216,0.04768028739111885,-0.01581327768455043,0.1259032449283639,0.012469842636391393,0.018072643665817623,0.05,2011,IS
2011-06-10,AAPL,9.79487165047724,-0.021210436347413264,-0.0025978190996310824,0.08114299071167697,0.14242041109974246,-0.001833701273258992,-0.02358287222496902,-0.03,2011,IS
2011-08-08,AAPL,10.815670209580496,0.061195714624368236,-0.013451327347268505,0.06263508724200095,0.10636577386661261,0.03517855196178976,-0.00878850464399683,0.05,2011,IS
2011-10-03,AAPL,11.212913173774364,0.038016914469089835,0.12125887673700242,0.058573845455990536,0.1037720472719641,-0.005526356593292037,-0.04956429734211698,-0.03,2011,IS
2011-11-14,AAPL,11.399414398836928,-0.030961150812406024,-0.019958446578441258,-0.0016021173419198398,0.0977676526530391,0.021087211129603434,-0.035774765194861446,-0.03,2011,IS
2012-05-15,AAPL,16.585723060831157,0.005270357903272016,0.04533926292764279,0.031549336750316126,0.143467928187742,-0.014384999000901288,0.05195071115108085,-0.03,2012,IS
2012-10-08,AAPL,19.200342635929687,-0.006090417089496869,-0.007234011132441154,-0.15414342776888423,-0.18159122455872478,-0.004384264580152952,-0.02933983746638147,-0.03,2012,IS
2014-04-07,AAPL,16.357190933881252,-0.00668292088485356,0.012395706684372954,0.12783950074862416,0.0810751977861972,-0.00333212730825172,-0.020646699320673645,0.05,2014,IS
2014-10-16,AAPL,21.4817082489637,0.07517935522457231,0.0972306541348904,0.1761546906487228,0.10769209115653466,0.0017435709635418295,0.17993285311467022,0.05,2014,IS
2014-12-12,AAPL,24.495757429412357,0.009755973764703052,0.028997291125817393,-0.008130112877387075,0.13254626179302664,-0.02231249918158018,-0.020371757274203484,-0.03,2014,IS
2015-01-05,AAPL,23.575233439406734,0.025436134168889568,0.020461704923474322,0.12220737086111333,0.17676792375243866,-0.0026281094132791782,0.0026340529609372165,0.05,2015,IS
