feature,n,ic_pooled,ic_ts,ic_xs,ic_is,ic_oos,ts_consist,yr_consist,d10,d1,d10_d1,abs_ic
rs_252,335729,0.03186916156047136,-0.0448852740506491,0.033025670948487754,0.03196479315360939,0.02328650853402909,0.34065934065934067,0.5625,0.04066207935279597,0.009810229859556641,0.03085184949323933,0.03186916156047136
ret_252,335729,0.02823320174131257,-0.029996201233609923,0.033025670948487754,0.03019379334679735,0.02443916400726183,0.38461538461538464,0.5625,0.04066207935279597,0.009810229859556641,0.03085184949323933,0.02823320174131257
mom_12_1,335729,0.02588122523567611,-0.02221561139607914,0.030804096892877424,0.03086967186799099,0.02039078112054753,0.4175824175824176,0.5625,0.038810165096232016,0.012597047472010596,0.02621311762422142,0.02588122523567611
dist_ema200_atr,340552,0.025395878404377462,-0.033638881772468564,0.01080685114166146,0.010114037700068967,0.026585218436529865,0.37362637362637363,0.47058823529411764,0.018371993355950213,0.008000091596629696,0.010371901759320517,0.025395878404377462
px_ema200,340552,0.021022417169778703,-0.04376426758033073,0.025778339169740795,0.009397866266710853,0.02742764825586099,0.3516483516483517,0.4117647058823529,0.03914675951630832,0.010678147729171604,0.028468611787136715,0.021022417169778703
ema200_slope63,334819,0.020107292518896026,-0.04181522645848777,0.024988984924794278,0.01883921793404242,0.01692346922790677,0.3076923076923077,0.4375,0.03671487214480019,0.011891713573295357,0.02482315857150483,0.020107292518896026
dist_52w_low,349652,0.019608508017462844,-0.0321228407659714,0.05458865110799003,0.020675715017902583,0.03352692374496973,0.37362637362637363,0.5294117647058824,0.05266754919893115,0.0008367539226164813,0.05183079527631467,0.019608508017462844
ema50_ema200,340552,0.01885385316360286,-0.045192731361172724,0.02607947547793475,0.016037231519186946,0.017614667674374238,0.32967032967032966,0.35294117647058826,0.039716425753308714,0.011930365854526443,0.027786059898782273,0.01885385316360286
drawdown_252,349652,0.016400981017353985,-0.04049702959663232,-0.022682923215866218,-0.006220193429872087,0.020115215419531766,0.31868131868131866,0.5294117647058824,0.003327970335883502,0.020133362148920926,-0.016805391813037425,0.016400981017353985
dist_52w_high,349652,0.015933941278573154,-0.03884815456541717,-0.025445540129314503,-0.009344092858771098,0.020825060342939558,0.32967032967032966,0.5294117647058824,0.002554473335913523,0.021281792543140464,-0.01872731920722694,0.015933941278573154
