feature,n,ic_pooled,ic_ts,ic_xs,ic_is,ic_oos,ts_consist,yr_consist,d10,d1,d10_d1,abs_ic
atr_pct,361745,0.07765871956466086,0.09775070865911885,0.07221763243880318,0.09649381626506026,0.06784737375019809,0.8369565217391305,0.8235294117647058,0.10058538547307806,0.03690894113114439,0.06367644434193367,0.07765871956466086
bench_px_ema200,340552,-0.07138734732173777,-0.0866271492571896,0.008022231471319443,-0.14155940451093474,-0.010823788748711446,0.7802197802197802,0.8823529411764706,,0.044457332722640415,,0.07138734732173777
bb_bandwidth,361193,0.05942535376889722,0.06337635892482624,0.05490893272153789,0.07135601943898627,0.053335733859169586,0.782608695652174,0.7647058823529411,0.08028495703433404,0.04203799267092963,0.03824696436340441,0.05942535376889722
dist_52w_high,353833,-0.04768658791448526,-0.09435887786828095,-0.025445540129314503,-0.0762901212616594,-0.023938661450570456,0.7934782608695652,0.8823529411764706,0.045219058200331015,0.06427396570607945,-0.019054907505748432,0.04768658791448526
corr_bench_63,355021,0.046435830790216986,0.0690363195273705,-0.004863356962552717,0.032278577571288956,0.05743355522044784,0.7582417582417582,0.7058823529411765,0.041042118123328857,0.05751277177268086,-0.016470653649352004,0.046435830790216986
drawdown_252,353833,-0.04557175104300066,-0.09439532241710363,-0.022682923215866218,-0.07227589105177255,-0.023378600788183334,0.7608695652173914,0.9411764705882353,0.04872665290340163,0.06330598368057024,-0.014579330777168609,0.04557175104300066
atr_pct_rank252,350245,0.04355812532013386,0.05356448314021538,-0.021343976266177664,0.05537612108584321,0.029868053019086033,0.7717391304347826,0.8823529411764706,0.051850134711248115,0.05909044458802512,-0.0072403098767770055,0.04355812532013386
rsi14,361653,-0.04046911006075137,-0.06769168586398544,0.006949162950244687,-0.05279894015779459,-0.02925863381050078,0.782608695652174,0.8823529411764706,0.059413036483647395,0.05479541406977736,0.004617622413870037,0.04046911006075137
dist_ema200_atr,344633,-0.03366685331942633,-0.0866714515613987,0.01080685114166146,-0.05810159691098324,-0.010037358108289835,0.8043478260869565,0.8823529411764706,0.055577244956579654,0.04951653983331451,0.006060705123265141,0.03366685331942633
px_ema50,358433,-0.03328212933144725,-0.07717906879122546,0.007689438550591455,-0.05278397593163872,-0.016065365545450825,0.7934782608695652,0.8823529411764706,0.0726085721114492,0.05883328602900049,0.013775286082448705,0.03328212933144725
