feature,n,ic_pooled,ic_ts,ic_xs,ic_is,ic_oos,ts_consist,yr_consist,d10,d1,d10_d1,abs_ic
dist_52w_low,343919,0.0415721241891699,-0.02019406823037031,0.0790493410101976,0.04089146202811069,0.05820894018953416,0.3956043956043956,0.7058823529411765,0.10415815487628483,0.004536466409815293,0.09962168846646953,0.0415721241891699
ret_252,329996,0.04037823851478049,-0.028012900036073138,0.04096682520265106,0.045266912387426674,0.029170812288325184,0.38461538461538464,0.75,0.08243537095034711,0.03571616507750053,0.046719205872846586,0.04037823851478049
rs_252,329996,0.03855238979168362,-0.0573286876449299,0.04096682520265106,0.04170959231097576,0.021819258022141068,0.3626373626373626,0.625,0.08243537095034711,0.03571616507750053,0.046719205872846586,0.03855238979168362
mom_12_1,329996,0.03675710943769255,-0.020480953163485548,0.03652414949140935,0.04639181663462876,0.02167784727747625,0.4065934065934066,0.75,0.07851125191892222,0.042932145785421906,0.035579106133500314,0.03675710943769255
dist_ema200_atr,334819,0.03606854230864766,-0.031233282984912174,0.027611559702767394,0.016948127888868153,0.03832207903471485,0.3626373626373626,0.5294117647058824,0.03979029291893159,0.021901030507317867,0.017889262411613722,0.03606854230864766
px_ema200,334819,0.03362116828835803,-0.042234009105487504,0.04439995668029012,0.0228090176088921,0.035815833384369805,0.32967032967032966,0.6470588235294118,0.0764916126347773,0.03090982627563277,0.04558178635914453,0.03362116828835803
ema50_ema200,334819,0.03275505634776,-0.03820176334165731,0.044511594255270834,0.03400493013786643,0.021716572519582818,0.3516483516483517,0.5294117647058824,0.07921105148986207,0.038125770528978274,0.0410852809608838,0.03275505634776
ema200_slope63,329086,0.029482115855197513,-0.03789537521220159,0.038543693304110234,0.032909180078071414,0.01531943652273779,0.3516483516483517,0.5,0.07559319206442128,0.04063781480268396,0.034955377261737315,0.029482115855197513
ret_126,341462,0.021895371849344203,-0.03494842435896237,0.04798115297594514,0.017823691341299738,0.019407100048328706,0.4175824175824176,0.5294117647058824,0.08086172831158743,0.03595479502586908,0.04490693328571835,0.021895371849344203
px_ema50,348469,0.02099366343453474,-0.030909986488350034,0.023692820355437776,-0.0022509802472998387,0.04223047313267767,0.3626373626373626,0.47058823529411764,0.06848120029354528,0.033686527686251556,0.03479467260729372,0.02099366343453474
