condicion,asset,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate
rsi_sobrecompra,BTC,4,IS,197,-0.000571562979380653,0.47715736040609136,-5.6233268463999304e-05,0.4922184925236497
rsi_sobrecompra,BTC,4,OOS,62,0.0013469109175949395,0.6290322580645161,-0.00020311177717099167,0.49656436097114065
rsi_sobrecompra,BTC,8,IS,197,-0.000659761744711761,0.4720812182741117,-0.00010659789793928578,0.4871833994507171
rsi_sobrecompra,BTC,8,OOS,62,0.0017270194394206002,0.6451612903225806,-0.00040288676370768225,0.48532783127005963
rsi_sobrecompra,BTC,24,IS,197,-0.0005374256742137936,0.467005076142132,-0.00027916210846818404,0.4868782422947818
rsi_sobrecompra,BTC,24,OOS,62,0.0028754374471301504,0.5161290322580645,-0.0012744741169645856,0.4712379199263691
rsi_sobrecompra,BTC,72,IS,197,-0.0015261267431496187,0.49238578680203043,-0.0009899981143431534,0.4774946597497711
rsi_sobrecompra,BTC,72,OOS,61,-0.00031151640987683816,0.5573770491803278,-0.0035416010329040472,0.4660307119590507
rsi_sobreventa,BTC,4,IS,201,0.00011436731017892314,0.5223880597014925,5.6233268463999304e-05,0.5077815074763503
rsi_sobreventa,BTC,4,OOS,76,0.0007520262957816016,0.5921052631578947,0.00020311177717099167,0.5032065964269354
rsi_sobreventa,BTC,8,IS,201,6.44854318798185e-05,0.5422885572139303,0.00010659789793928578,0.5128166005492829
rsi_sobreventa,BTC,8,OOS,76,0.0013251791664925267,0.5657894736842105,0.00040288676370768225,0.5146721687299404
rsi_sobreventa,BTC,24,IS,201,-0.0007085302201379964,0.48756218905472637,0.00027916210846818404,0.5131217577052182
rsi_sobreventa,BTC,24,OOS,76,-0.0020903619180226898,0.4605263157894737,0.0012744741169645856,0.5287620800736309
rsi_sobreventa,BTC,72,IS,201,-5.001334132131803e-05,0.4925373134328358,0.0009899981143431534,0.5225053402502289
rsi_sobreventa,BTC,72,OOS,76,0.0019438014614463776,0.5789473684210527,0.0035416010329040472,0.5339692880409492
div_alcista,BTC,4,IS,451,0.0006705928413279439,0.5587583148558758,5.6233268463999304e-05,0.5077815074763503
div_alcista,BTC,4,OOS,144,-0.0006797586321840492,0.5069444444444444,0.00020311177717099167,0.5032065964269354
div_alcista,BTC,8,IS,451,0.000207644980034662,0.5543237250554324,0.00010659789793928578,0.5128166005492829
div_alcista,BTC,8,OOS,144,-0.0013677397717064014,0.4791666666666667,0.00040288676370768225,0.5146721687299404
div_alcista,BTC,24,IS,451,0.0017230531341242148,0.5388026607538803,0.00027916210846818404,0.5131217577052182
div_alcista,BTC,24,OOS,144,0.0019445506327480239,0.5138888888888888,0.0012744741169645856,0.5287620800736309
div_alcista,BTC,72,IS,451,0.0048039892029519676,0.5787139689578714,0.0009899981143431534,0.5225053402502289
div_alcista,BTC,72,OOS,144,0.0026571211912143253,0.5902777777777778,0.0035416010329040472,0.5339692880409492
div_bajista,BTC,4,IS,488,-0.0009260687117340302,0.5163934426229508,-5.6233268463999304e-05,0.4922184925236497
div_bajista,BTC,4,OOS,176,-0.001004208116651935,0.5113636363636364,-0.00020311177717099167,0.49656436097114065
div_bajista,BTC,8,IS,488,-0.0005935942297350353,0.5327868852459017,-0.00010659789793928578,0.4871833994507171
div_bajista,BTC,8,OOS,176,-0.0013982447096756861,0.5284090909090909,-0.00040288676370768225,0.48532783127005963
div_bajista,BTC,24,IS,488,-0.0016255599349822422,0.5020491803278688,-0.00027916210846818404,0.4868782422947818
div_bajista,BTC,24,OOS,176,-0.00458088204825051,0.4659090909090909,-0.0012744741169645856,0.4712379199263691
div_bajista,BTC,72,IS,488,-0.0035783427981812862,0.48360655737704916,-0.0009899981143431534,0.4774946597497711
div_bajista,BTC,72,OOS,176,-0.0035448508783769038,0.5284090909090909,-0.0035416010329040472,0.4660307119590507
ema20_toque,BTC,4,IS,1265,0.00011287807031659314,0.4956521739130435,-5.187377377374764e-05,0.473146170277693
ema20_toque,BTC,4,OOS,408,6.391033210528699e-05,0.5122549019607843,0.0001324639789587284,0.4830508474576271
ema20_toque,BTC,8,IS,1265,0.00010548285027145127,0.4932806324110672,-5.1195709242262034e-05,0.4816905706438816
ema20_toque,BTC,8,OOS,408,0.0003732809372651482,0.48284313725490197,0.0002784573048222674,0.4850985786336543
ema20_toque,BTC,24,IS,1265,0.0006757881076469885,0.4964426877470356,0.00018639918653709636,0.49282880683552027
ema20_toque,BTC,24,OOS,405,0.0016171634664544506,0.5358024691358024,0.0008140339984328955,0.5124252185918086
ema20_toque,BTC,72,IS,1265,-0.0003810095522010699,0.4632411067193676,0.0003033958104557237,0.4860390601159597
ema20_toque,BTC,72,OOS,401,-0.0015591391308045143,0.456359102244389,-0.0004600800323410164,0.46649604467194045
vwap_ruptura_alza,BTC,4,IS,1067,0.000309967108002653,0.5220243673851921,5.6233268463999304e-05,0.5077815074763503
vwap_ruptura_alza,BTC,4,OOS,384,0.0013400085892438598,0.5598958333333334,0.00020311177717099167,0.5032065964269354
vwap_ruptura_alza,BTC,8,IS,1067,0.0004948679878222042,0.528584817244611,0.00010659789793928578,0.5128166005492829
vwap_ruptura_alza,BTC,8,OOS,383,0.002120090025291066,0.566579634464752,0.00040288676370768225,0.5146721687299404
