condicion,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate,edge,edge_neto_costo
div_alcista,4,IS,2811.0,-0.0002912089357880281,0.5418000711490573,0.0001014199810437084,0.505564006218913,-0.0003926289168317365,-0.0013926289168317365
div_alcista,4,OOS,973.0,-4.023444493160014e-05,0.5025693730729702,0.00015369515842903752,0.4874471290637536,-0.00019392960336063768,-0.0011939296033606378
div_alcista,8,IS,2811.0,-0.00034988234168717143,0.5314834578441836,0.00020222677576888195,0.5036840338068181,-0.0005521091174560534,-0.0015521091174560534
div_alcista,8,OOS,973.0,-0.0002998882122212037,0.5015416238437821,0.00031090708377818385,0.4923760104015852,-0.0006107952959993876,-0.0016107952959993877
div_alcista,24,IS,2811.0,0.001065515941814533,0.5353966559943081,0.000582179381683982,0.4950383966837969,0.000483336560130551,-0.000516663439869449
div_alcista,24,OOS,973.0,0.0012103179691442965,0.5344295991778006,0.0010374975872877881,0.49717981814089085,0.0001728203818565084,-0.0008271796181434916
div_alcista,72,IS,2811.0,0.00286925619787413,0.5321949484169335,0.001976073506780998,0.4943673366210577,0.0008931826910931321,-0.0001068173089068679
div_alcista,72,OOS,973.0,0.0011407292448788152,0.5899280575539568,0.002733474510606508,0.496563746040116,-0.001592745265727693,-0.002592745265727693
div_bajista,4,IS,2954.0,-0.0005780061296039246,0.523019634394042,-9.701940205068813e-05,0.4933763994953453,-0.0004809867275532365,-0.0014809867275532365
div_bajista,4,OOS,905.0,-0.0017502358761427546,0.5259668508287293,-0.00018370342674157194,0.5039137908885357,-0.0015665324494011828,-0.0025665324494011828
div_bajista,8,IS,2954.0,-0.0011044359577800829,0.5294515910629655,-0.00019291891669965757,0.4950222184483637,-0.0009115170410804252,-0.0019115170410804252
div_bajista,8,OOS,905.0,-0.0019132350007176771,0.5138121546961326,-0.00037054352344562195,0.4978839948056404,-0.001542691477272055,-0.002542691477272055
div_bajista,24,IS,2954.0,-0.0026950214900532308,0.5179417738659445,-0.0005530122195730733,0.5027011368725045,-0.0021420092704801576,-0.0031420092704801577
div_bajista,24,OOS,904.0,-0.005960003525109478,0.49889380530973454,-0.0012081341945613148,0.49062245625020406,-0.004751869330548163,-0.005751869330548163
div_bajista,72,IS,2954.0,-0.004713608320098476,0.512186865267434,-0.0018787657043335883,0.5026463210285939,-0.0028348426157648876,-0.0038348426157648876
div_bajista,72,OOS,885.0,-0.009214717145788389,0.5107344632768361,-0.003201014719751757,0.4905263877648371,-0.006013702426036632,-0.007013702426036632
ema20_toque,4,IS,8322.0,-2.0110353279285145e-05,0.48954578226387885,0.00011378075982462005,0.4819469504072195,-0.0001338911131039052,-0.0011338911131039053
ema20_toque,4,OOS,2593.0,0.00016995978809520578,0.5032780563054378,0.00018121442883112674,0.48510797776678405,-1.1254640735920956e-05,-0.001011254640735921
ema20_toque,8,IS,8322.0,0.0001834569941262887,0.48570055275174234,0.0002730162594309073,0.48555247068829027,-8.955926530461862e-05,-0.0010895592653046187
ema20_toque,8,OOS,2590.0,0.00027082430009456245,0.49305019305019304,0.0004403367437974972,0.48795273958419727,-0.00016951244370293477,-0.0011695124437029348
