regla,periodo,cagr,sharpe,maxdd,turnover_anual
buy & hold (equal weight),IS,0.169295230410768,0.9410472814617975,-0.26723714964366263,0.12169499816558639
buy & hold (equal weight),OOS,0.29782713593956367,1.1638226104454614,-0.3949670738895661,0.0
long solo si SPY > EMA200,IS,0.12470723541096151,0.868865289154163,-0.25927004647182994,4.662345603522074
long solo si SPY > EMA200,OOS,0.18022467997483615,1.0256595255651861,-0.23810804074284952,9.656453558504221
tilt por sobreventa de mercado,IS,0.17809460363496443,0.8702853117221568,-0.3158815147472295,10.551376243866109
tilt por sobreventa de mercado,OOS,0.269482667158494,0.9372923028490755,-0.4872275035140743,11.117488037728975
tilt por sobreventa del activo,IS,0.1468619194701215,0.7752448404014457,-0.2982930542010732,14.940206061185334
tilt por sobreventa del activo,OOS,0.28680003601000625,1.0041306385003423,-0.48279779294327374,16.135453817979915
SPY>EMA200 + tilt de mercado,IS,0.1249166247654665,0.8151350880035283,-0.25720944021112613,16.076267157580553
SPY>EMA200 + tilt de mercado,OOS,0.14093022348126816,0.8475890980819443,-0.26404025280702126,20.99203568549737
