feature,periodo,cagr,sharpe,maxdd,sharpe_bh,cagr_bh,maxdd_bh,d_sharpe
mr_score_invertido,IS,0.9252564447243394,1.2374032091861067,-0.8122618915448986,1.0971940459117044,0.6919618765861519,-0.8712929824991877,0.14020916327440225
drawdown_252,IS,0.8975348843024686,1.2085856779680166,-0.850188134539443,1.0971940459117044,0.6919618765861519,-0.8712929824991877,0.1113916320563122
dist_ema200_atr,IS,0.8650161638871245,1.2016126893675625,-0.8202543873671838,1.0971940459117044,0.6919618765861519,-0.8712929824991877,0.10441864345585805
ret_126,IS,0.866417770926269,1.1773180411363429,-0.8611508010968523,1.0971940459117044,0.6919618765861519,-0.8712929824991877,0.08012399522463842
mom_12_1,IS,0.8450204061483089,1.1711732826199521,-0.868839776479106,1.0971940459117044,0.6919618765861519,-0.8712929824991877,0.07397923670824769
ema50_ema200,IS,0.8294287383656862,1.1632109813940208,-0.8420530981319958,1.0971940459117044,0.6919618765861519,-0.8712929824991877,0.06601693548231635
px_ema200,IS,0.8256280324431196,1.1621193236208782,-0.8336599712876325,1.0971940459117044,0.6919618765861519,-0.8712929824991877,0.06492527770917378
days_above_ema200_63,IS,0.7941219076355133,1.1348283802603294,-0.8634033373410576,1.0971940459117044,0.6919618765861519,-0.8712929824991877,0.037634334348624954
ret_63,IS,0.7781491163208072,1.1172077658807718,-0.8708920877722314,1.0971940459117044,0.6919618765861519,-0.8712929824991877,0.020013719969067312
mr_score_invertido,OOS,0.5908163903224262,1.0560323361964632,-0.766464086756498,0.9053415197631323,0.45292018481818674,-0.7944412918482834,0.15069081643333093
dist_ema200_atr,OOS,0.5824619815712626,1.0358158778042377,-0.7448602015978911,0.9053415197631323,0.45292018481818674,-0.7944412918482834,0.1304743580411054
px_ema200,OOS,0.5845233275851454,1.0267195910062559,-0.7445170377211376,0.9053415197631323,0.45292018481818674,-0.7944412918482834,0.12137807124312361
ret_126,OOS,0.5660319389529282,1.0006256647808158,-0.7870558420316467,0.9053415197631323,0.45292018481818674,-0.7944412918482834,0.09528414501768356
drawdown_252,OOS,0.5189484968301228,0.9790794087634211,-0.7669433262471577,0.9053415197631323,0.45292018481818674,-0.7944412918482834,0.07373788900028888
ema50_ema200,OOS,0.5370941255566204,0.9723201073897486,-0.7279999636796972,0.9053415197631323,0.45292018481818674,-0.7944412918482834,0.06697858762661635
mom_12_1,OOS,0.5223972892732842,0.9563306608457653,-0.6997366485749827,0.9053415197631323,0.45292018481818674,-0.7944412918482834,0.05098914108263308
days_above_ema200_63,OOS,0.5190630049244445,0.9552897350118303,-0.732388408963317,0.9053415197631323,0.45292018481818674,-0.7944412918482834,0.04994821524869808
ret_63,OOS,0.46278593406738566,0.906940324330027,-0.7893466511222367,0.9053415197631323,0.45292018481818674,-0.7944412918482834,0.0015988045668947626
