asset,grp,period,cagr_strat,cagr_bh,sharpe_strat,sharpe_bh,maxdd_strat,maxdd_bh,exposure,n_trades
AAPL,Accion,IS,0.02466523304044732,0.271915554666212,0.22311229135084976,1.063873380132565,-0.4123165188108666,-0.4379716153596679,0.41812400635930047,32
AAPL,Accion,OOS,0.09641291551774978,0.2538781777543464,0.48748116964651106,0.8763334855859471,-0.27878884161940876,-0.33360525881753067,0.42400482509047044,24
ABBV,Accion,IS,0.04889122049019279,0.1863736037794541,0.33795761765143945,0.7619426773236386,-0.3392324373040101,-0.45089767405348513,0.41657207718501704,23
ABBV,Accion,OOS,0.12385452660093343,0.2173924313754716,0.7440657480811104,0.9070407356120084,-0.24446552100766483,-0.3404234161006534,0.41676718938480095,26
ADA,Cripto,IS,-0.36660109603459556,0.007886628544467422,-0.6566881125537115,0.5777435262266083,-0.8297732775336669,-0.9746221237169262,0.3997445721583653,7
ADA,Cripto,OOS,-0.09815432686100123,0.20851488896659864,0.07798620040648671,0.6304987905806501,-0.9229035994458621,-0.9516787587280237,0.5093322272915802,26
ADBE,Accion,IS,0.24721584979882238,0.24466240999212174,1.1928465347136143,0.9211081511577143,-0.3126324844658839,-0.39814323408813357,0.3672496025437202,56
ADBE,Accion,OOS,-0.07359756040416854,-0.03259021560317443,-0.09153169678840434,0.10690618527498717,-0.6453250101550683,-0.7190319086624575,0.5078407720144753,23
AMAT,Accion,IS,-0.0032802248000465273,0.1802334172698763,0.08696621787418078,0.6986370473631989,-0.46318098070186364,-0.5227416152224802,0.38076311605723373,30
AMAT,Accion,OOS,0.11148415899626607,0.40508185970520283,0.47469652046444977,0.941617603706159,-0.46048306662304483,-0.5513919541664309,0.44752714113389624,27
AMD,Accion,IS,0.05808596833174717,0.1683514249097262,0.33834396450118503,0.5527438860255524,-0.678870534593344,-0.8405511782383531,0.3899046104928458,34
AMD,Accion,OOS,0.07991492260751931,0.43041250610484183,0.3912127689554205,0.9147031932901869,-0.6227149365541671,-0.6544994295506876,0.47828709288299154,25
AMGN,Accion,IS,0.13030356760728523,0.1772076439770558,0.8390922489955958,0.8217984895293008,-0.18107007460341407,-0.24766366888944025,0.38950715421303655,47
AMGN,Accion,OOS,0.0985455849758412,0.11776962380223188,0.5865656074906594,0.551052977636936,-0.20870194151124366,-0.2485995817755532,0.4620024125452352,28
AMZN,Accion,IS,0.1473452596634297,0.3006774124807561,0.7162591073319329,1.0034965425867453,-0.3323530620137586,-0.34103783046300695,0.41017488076311603,41
AMZN,Accion,OOS,0.0509696217080986,0.17997455888627356,0.317483257030033,0.6406326098227699,-0.5363235621310027,-0.561452632532826,0.46562123039806996,27
AVAX,Cripto,OOS,-0.17921170349199844,0.03243364062865184,-0.06005553555807683,0.4951677861275607,-0.9097795651674176,-0.9561012519131469,0.45670391061452514,24
AVGO,Accion,IS,0.23487308029853238,0.3530293126148014,0.9941438125190218,1.0607225665178823,-0.2665225681985617,-0.30424782699251074,0.41375198728139906,50
AVGO,Accion,OOS,0.17083595679612285,0.5210705878575252,0.6360773454887232,1.1705260661789176,-0.44982925054506306,-0.48299962780611116,0.45657418576598313,29
AXP,Accion,IS,0.0853118013555012,0.13471496202218858,0.5851906846126629,0.6705515436186179,-0.3172916276370775,-0.45382658894001404,0.4117647058823529,42
AXP,Accion,OOS,0.13442990630415186,0.18107531425689283,0.5579115893472804,0.6346226794367014,-0.46261882991211534,-0.49638487147334287,0.45235223160434257,25
BA,Accion,IS,0.12277920520463037,0.22192676596229588,0.7352140231623276,0.932446269283586,-0.22419041911451698,-0.2954777473213205,0.417329093799682,47
BA,Accion,OOS,-0.08236432114979464,-0.04792388342913001,-0.026922358997573358,0.13799852992190717,-0.701743363339534,-0.7249236475234284,0.4776839565741858,20
BAC,Accion,IS,0.01780591479155169,0.09602770650169812,0.19433725320884845,0.44531617614105656,-0.5763339540817971,-0.7420051270033339,0.41414944356120825,38
BAC,Accion,OOS,0.06936092438418218,0.11942852037512397,0.3782016436452353,0.5040326341233244,-0.44521742494971683,-0.4894678377231654,0.43003618817852834,28
BLK,Accion,IS,0.08140633368674055,0.10646543099770489,0.5278526800118059,0.527291984446088,-0.34601590686124617,-0.41953060312464585,0.3787758346581876,39
BLK,Accion,OOS,0.05348314566733947,0.15920100771254897,0.3350977189214602,0.633403623764691,-0.3711147407274197,-0.43901704193106583,0.41556091676718937,24
BMY,Accion,IS,0.05048231520144708,0.13196944021640844,0.390644410103304,0.6547416471107134,-0.2953598975494366,-0.3930288482775337,0.40659777424483307,34
BMY,Accion,OOS,-0.04410460943440564,0.04133063629291467,-0.16180815785688718,0.286970102411388,-0.5048995321289048,-0.47667358124941905,0.47225572979493363,18
BNB,Cripto,IS,-0.24948222480415494,0.8615991106865921,-0.347333631218383,1.0840791878579943,-0.7216737783050376,-0.8010241823092696,0.4495530012771392,7
BNB,Cripto,OOS,-0.012336779011448473,0.4821023511836344,0.19339720564176155,0.9090975657255297,-0.6753033097132539,-0.7083799892470086,0.43384487764413104,28
BTC,Cripto,IS,-0.00030423197535156543,0.4324945045198896,0.2033673916934527,0.89372499409833,-0.7466064642824815,-0.8339900882218972,0.358695652173913,22
BTC,Cripto,OOS,0.028381394893740364,0.2584467459798383,0.26996104747181976,0.7155502573801495,-0.6141661388985463,-0.7663456370856907,0.4935711323102447,37
C,Accion,IS,0.04635646113968983,0.09812634332717884,0.314606036079633,0.45771728445950893,-0.4380124715845205,-0.5492836308650629,0.4002384737678855,42
C,Accion,OOS,0.026184242430704607,0.12206290195206204,0.24044129643564094,0.4952399889112105,-0.5130611601510324,-0.5650758119016267,0.46079613992762364,23
CAT,Accion,IS,0.017135825738114674,0.12763392948267427,0.18523483143728411,0.5785392039445857,-0.38042821842363694,-0.446324841572432,0.41255961844197137,35
CAT,Accion,OOS,0.06055033062501192,0.32909228035895666,0.36676444010830805,1.0158810500850646,-0.34261380706406963,-0.38554242202200384,0.41857659831121835,21
COP,Accion,IS,0.016321748186307827,0.08573889201915064,0.18092551229570397,0.4392575576987693,-0.5811077952406318,-0.6072969502934413,0.42170111287758344,33
COP,Accion,OOS,0.04969903708032386,0.13395356338815034,0.3131768624667144,0.5111755034316882,-0.6179643988478973,-0.6565817056255838,0.428226779252111,26
COST,Accion,IS,0.06547913210335987,0.20383153113603836,0.5573839164901534,1.1259101919247816,-0.18529165384235669,-0.22017276553044007,0.3978537360890302,32
COST,Accion,OOS,0.0753722170843909,0.21197692119166645,0.4784711828554029,0.9359344550603981,-0.2718711945646197,-0.3140241648994423,0.49638118214716526,24
CRM,Accion,IS,0.26885962451267575,0.24187044594509,1.0161602991158014,0.803633249357159,-0.319612350804106,-0.38814957396656236,0.4304451510333863,53
CRM,Accion,OOS,-0.057099186849263295,0.028823006202628454,-0.036338451125344756,0.26932117806021966,-0.5903054581564706,-0.58669591449078,0.517490952955368,20
CSCO,Accion,IS,0.055063247827117356,0.09572150116865386,0.39575755654442235,0.490494680567959,-0.24863429894985445,-0.49835268401799226,0.40858505564387915,34
CSCO,Accion,OOS,0.05753378931590425,0.18642871504261205,0.3754915886968089,0.7507679773080073,-0.30587988504210817,-0.36675059663586596,0.42460796139927626,21
CVX,Accion,IS,0.04651951736547555,0.0828119483067482,0.36686861402308696,0.4833856703680651,-0.39352592034247325,-0.4541846435239878,0.45906200317965024,40
CVX,Accion,OOS,0.02625158009571349,0.11623804761294387,0.23326401458497656,0.4982936363186915,-0.5344198112235286,-0.548268708143259,0.4457177322074789,24
DE,Accion,IS,0.08598141753014188,0.14503579055545757,0.5395849951253535,0.6634605952411903,-0.35996457917750024,-0.3711864674914408,0.4073926868044515,37
DE,Accion,OOS,0.08543016541008486,0.23038343105296644,0.45476407115157835,0.799561629825802,-0.3343653261283571,-0.3741552898958964,0.45355850422195415,25
DIS,Accion,IS,0.06754532035503491,0.17903362146617696,0.5208322186064299,0.8883129791931874,-0.3033869728083284,-0.34195605044260036,0.3887122416534181,40
DIS,Accion,OOS,-0.012928940657253252,-0.04314412487564978,0.07275078879039344,0.029849837509333357,-0.44997797503808046,-0.6071517066401722,0.4734620024125452,24
DOGE,Cripto,IS,-0.20035193339437485,0.12281230444102609,-0.41290317231189955,0.5957151490421565,-0.6651759230777855,-0.8920294948795788,0.32950191570881227,8
DOGE,Cripto,OOS,-0.17486105058573298,0.4471422548058477,-0.14957656819224316,0.6870321365721606,-0.8666650003840526,-0.9225850212888337,0.454997926171713,21
EEM,ETF,IS,-0.017389676571819224,0.02619108839964701,-0.029267183554559546,0.228286156708585,-0.31913597275586825,-0.37504847268935926,0.424483306836248,31
EEM,ETF,OOS,0.027133577187766322,0.08197804285858745,0.23895037724216434,0.4630544365336439,-0.31768147339700725,-0.3982232516753067,0.44752714113389624,22
ETH,Cripto,IS,-0.37427675041838304,-0.2530529768952128,-0.7251363018401464,0.04206455102496312,-0.8503239347916043,-0.9396254038538313,0.4329501915708812,6
ETH,Cripto,OOS,0.11663446985468395,0.3249494443449905,0.46823986402490403,0.7606382161166093,-0.7499264690600078,-0.7935123166505245,0.4707590211530485,32
