i,date,playbook,score,asset,regime,outcome,entry,stop,target,bars_held,mfe,mae,ret_horizon,r_mult,hit10_no_stop,risk_pct,class
2460,2025-10-15,A,72.0,AAPL,RISK_ON,WIN,247.54966879270205,235.5903721475435,272.3046356719723,11.0,0.16374527999671207,-0.01256795616188322,0.04112912738380925,2.069935014889998,True,0.04831069539896366,stock
2492,2025-12-01,B,70.0,AAPL,RISK_ON,LOSS,282.47518456741903,268.5673667753903,310.722703024161,13.0,0.01985864373689261,-0.13985863193389825,-0.07149949744530737,-1.0,False,0.049235538383051426,stock
2506,2025-12-19,A,75.0,AAPL,RISK_ON,LOSS,272.3539780142796,259.89352401360094,299.5893758157076,11.0,0.02950231902973477,-0.1078940962418935,-0.07690582379340805,-1.0,False,0.045750952828107316,stock
2547,2026-02-20,A,75.0,AAPL,RISK_ON,LOSS,263.24744081710827,246.9948616797854,289.5721848988191,20.0,0.16065708975760362,-0.06823783570581421,0.15856773113425038,-1.0,True,0.06173879254770949,stock
2595,2026-04-30,A,70.0,AAPL,RISK_ON,WIN,278.6032901046287,263.8971141622488,306.4636191150916,16.0,0.23677651902393704,-0.017420074625845383,0.10878088893386395,1.8944645514661373,True,0.052785363506859716,stock
2624,2026-06-11,A,80.0,AAPL,,INCOMPLETE,,,,,,,,,,,stock
2634,2026-06-26,A,75.0,AAPL,,INCOMPLETE,,,,,,,,,,,stock
3089,2024-06-16,A,75.0,BTC,RISK_ON,LOSS,66636.515625,61868.62289725385,73300.1671875,8.0,0.05028809513927812,-0.2628480372881141,-0.1118557838384876,-1.0,False,0.07155075086124973,crypto
3129,2024-07-26,A,70.0,BTC,RISK_ON,LOSS,67911.8125,62026.11669660118,74702.99375000001,7.0,0.030565029647824593,-0.276690807195729,-0.018691865093425353,-1.0,False,0.08666674598618351,crypto
3232,2024-11-06,B,90.0,BTC,RISK_ON,WIN,75637.0859375,69306.5909620995,83200.79453125001,5.0,0.44261087613374195,-0.015292287482568612,0.27735546808789957,1.1948052440040786,True,0.08369564872754998,crypto
3280,2024-12-24,A,80.0,BTC,RISK_ON,WIN,98675.9140625,87898.63001267708,108543.50546875001,27.0,0.10579044389077663,-0.22347565028414906,-0.11354555003567945,0.91559166118593,True,0.1092189938367,crypto
3299,2025-01-12,A,75.0,BTC,RISK_ON,WIN,94488.890625,85928.07457629626,103937.7796875,5.0,0.15479060120989763,-0.21221765653998015,-0.11434057476002879,1.1037369578722276,True,0.0906012970633682,crypto
3314,2025-01-27,A,75.0,BTC,RISK_ON,LOSS,102095.4140625,91465.71519699406,112304.95546875,7.0,0.04234618765396614,-0.27091064401842857,-0.0697060110667006,-1.0,False,0.10411534115527192,crypto
3399,2025-04-22,A,70.0,BTC,RISK_ON,WIN,93427.5859375,84985.975069063,102770.34453125001,16.0,0.31750818711450246,-0.018526380432840273,0.2843681323712357,1.1067506829392448,True,0.09035458621486978,crypto
3454,2025-06-16,A,75.0,BTC,RISK_ON,LOSS,106794.1171875,99797.66508928279,117473.52890625001,6.0,0.16539300539362878,-0.07966650492145111,0.0810040668936074,-1.0,True,0.06551345975296977,crypto
3521,2025-08-22,A,75.0,BTC,RISK_ON,LOSS,116866.3671875,109292.40877281365,128553.00390625001,4.0,0.07984934716100356,-0.30981158701896094,-0.2718975566042813,-1.0,False,0.0648087092716309,crypto
2410,2024-06-15,A,80.0,ETH,RISK_ON,LOSS,3566.761962890625,3222.3406774013683,3923.438159179688,19.0,0.022802490195220848,-0.4049095048501803,-0.32190717286754733,-1.0,False,0.09656413550236638,crypto
2855,2025-09-03,A,82.0,ETH,RISK_ON,LOSS,4450.2158203125,3875.793759776011,4895.237402343751,22.0,0.07036636434196808,-0.409720407257285,-0.2828276411278333,-1.0,False,0.12907734899386347,crypto
2892,2025-10-10,C,75.0,ETH,RISK_ON,WIN,3840.96044921875,3252.187361421821,4225.056494140626,3.0,0.11764902551864687,-0.31608991637350636,-0.19732390898018337,0.6523668504603115,True,0.15328798501861304,crypto
2894,2025-10-12,A,75.0,ETH,RISK_ON,LOSS,4164.04931640625,3530.1360792172286,4580.454248046875,23.0,0.030930562280157226,-0.3691545458692236,-0.25099704232178033,-1.0,False,0.15223480535915343,crypto
2269,2024-01-26,A,80.0,BNB,RISK_ON,WIN,302.3171691894531,272.0627472863467,332.54888610839845,19.0,1.1218812740824577,-0.019036416012430002,0.9770807127443475,0.999249531713617,True,0.10007510319120151,crypto
2352,2024-04-18,A,90.0,BNB,RISK_ON,WIN,552.172119140625,469.3015822850824,607.3893310546875,4.0,0.30515935600568955,-0.17249823915405116,0.0358211113159721,0.6663069168999769,True,0.15008098740030276,crypto
2364,2024-04-30,A,75.0,BNB,RISK_ON,WIN,578.4874877929688,511.04786527041335,636.3362365722656,34.0,0.24578771819485223,-0.21014125539318196,0.015864841501934013,0.8577857736369918,True,0.11657922417622098,crypto
2384,2024-05-20,A,80.0,BNB,RISK_ON,WIN,600.60107421875,549.6372101318686,660.661181640625,15.0,0.19991894513227715,-0.3214720807849558,-0.067902353680517,1.1784841769353815,True,0.084854766790376,crypto
2385,2024-05-21,B,90.0,BNB,RISK_ON,WIN,618.4204711914062,564.6811072667017,680.262518310547,14.0,0.16534403531868347,-0.3410234360727743,-0.07948233557545892,1.1507774302239404,True,0.0868977765583568,crypto
2396,2024-06-01,A,75.0,BNB,RISK_ON,WIN,601.3041381835938,559.1022076069664,661.4345520019532,3.0,0.19851596165439145,-0.32226543725607804,-0.11376466780020278,1.424826139391392,True,0.07018400156717686,crypto
2411,2024-06-16,A,75.0,BNB,RISK_ON,LOSS,610.0736694335938,551.2337234500828,671.0810363769532,17.0,0.003065795856853626,-0.3320075630434537,-0.0919583686452442,-1.0,False,0.09644727994594358,crypto
2455,2024-07-30,A,70.0,BNB,RISK_ON,LOSS,587.6651000976562,537.0757439061078,646.4316101074219,4.0,0.05048334052566883,-0.3065359894602425,0.03063509101550066,-1.0,False,0.08608535062426133,crypto
2505,2024-09-18,A,70.0,BNB,RISK_ON,WIN,559.0445556640625,507.6492576255076,614.9490112304688,5.0,0.4191185959408197,-0.042329256568071294,0.2299981679994707,1.08773482594592,True,0.091934171467791,crypto
2521,2024-10-04,A,80.0,BNB,RISK_ON,WIN,555.3842163085938,501.75651584434024,610.9226379394531,25.0,0.42847150064042583,-0.02066297668586392,0.28495469214229696,1.035629369711265,True,0.09655964085672865,crypto
2623,2025-01-14,A,90.0,BNB,RISK_ON,LOSS,698.6196899414062,635.0635049384764,768.481658935547,19.0,0.04611239465376449,-0.27022427123098225,-0.17024091433084476,-1.0,False,0.09097393892270678,crypto
2662,2025-02-22,A,90.0,BNB,RISK_ON,LOSS,668.574462890625,587.4218966213034,735.4319091796875,6.0,0.03342272595647011,-0.23742870591397203,-0.0004007696237439129,-1.0,False,0.12138149267390991,crypto
2894,2025-10-12,A,70.0,BNB,RISK_ON,LOSS,1303.1473388671875,1090.593259266559,1433.4620727539063,5.0,0.05171992424065719,-0.3908433074485478,-0.3072534727793841,-1.0,False,0.1631082482088323,crypto
2905,2025-10-23,A,80.0,BNB,RISK_ON,LOSS,1127.5726318359375,928.0799755278664,1240.3298950195312,12.0,0.04650898688166971,-0.2959913175978326,-0.21337896466143236,-1.0,False,0.17692222272480396,crypto
