i,date,playbook,score,asset,regime,outcome,entry,stop,target,bars_held,mfe,mae,ret_horizon,r_mult,hit10_no_stop,risk_pct,class
1609,2025-12-18,A,75.0,VIST,RISK_ON,WIN,46.810001373291016,41.75812723716717,51.49100151062012,21.0,0.5908139549950489,-0.06622521251595537,0.4494765324411023,0.9265868489987156,True,0.10792296492019242,stock
1689,2026-04-16,A,90.0,VIST,RISK_ON,WIN,62.599998474121094,54.015731422698664,68.85999832153321,4.0,0.30095853716471943,-0.04440892726932144,0.022683677373128708,0.7292410417701088,True,0.13712886997866575,stock
1706,2026-05-11,A,90.0,VIST,,INCOMPLETE,,,,,,,,,,,stock
1726,2026-06-09,A,75.0,VIST,,INCOMPLETE,,,,,,,,,,,stock
2016,2024-01-08,B,70.0,NVDA,RISK_ON,WIN,52.308031854280586,48.882803829554014,57.53883503970865,8.0,0.8588298674417434,-0.013568487941127971,0.6289378957465528,1.5271401342238002,True,0.06548187540813144,stock
2150,2024-07-22,A,80.0,NVDA,RISK_ON,LOSS,122.57796493987696,108.71484930477595,134.83576143386466,3.0,0.14759789124301315,-0.26136176465743755,0.12405764407909592,-1.0,True,0.11309631092260919,stock
2226,2024-11-06,B,70.0,NVDA,RISK_ON,LOSS,146.1616297903136,134.3822689573281,160.77779276934498,15.0,0.046113351723044094,-0.22796783402979215,-0.08751151704900784,-1.0,False,0.0805913347428078,stock
2242,2024-11-29,A,90.0,NVDA,RISK_ON,WIN,138.61342701841852,125.60986811924786,152.47476972026038,25.0,0.10307951922240988,-0.206817131151937,-0.15502364248603728,1.0659653106755191,True,0.09381168317440688,stock
2381,2025-06-24,B,70.0,NVDA,RISK_ON,WIN,149.0714619384952,139.5261634601541,163.97860813234473,10.0,0.23641998190664504,-6.705811843299436e-05,0.19541802767198502,1.561726563886379,True,0.0640316956325239,stock
2431,2025-09-04,A,80.0,NVDA,RISK_ON,WIN,167.80648732819571,155.81836003527624,184.58713606101531,18.0,0.2628815984924646,-0.023567169456922277,0.06885767461576253,1.3997723182945092,True,0.07144018973159906,stock
2441,2025-09-18,A,90.0,NVDA,RISK_ON,WIN,175.54609885389235,163.1473320414617,193.1007087392816,15.0,0.2072027025266956,-0.03538707632553362,-0.0274249806577479,1.4158351512659706,True,0.07062969153618265,stock
2462,2025-10-17,A,80.0,NVDA,RISK_ON,WIN,182.89672994644732,168.2624862988296,201.18640294109207,7.0,0.15868514990119276,-0.07415493046441302,-0.027576444745719964,1.2497860111562424,True,0.08001369763091265,stock
2469,2025-10-28,B,70.0,NVDA,RISK_ON,LOSS,207.715080745974,193.04405911439432,228.48658882057143,7.0,0.020242363690508247,-0.18477736403652012,-0.07433065771050851,-1.0,False,0.07063050780372407,stock
2485,2025-11-19,A,75.0,NVDA,RISK_ON,LOSS,195.70039225393623,177.0492913743694,215.27043147932986,2.0,0.00025518271261337766,-0.13472817450781538,-0.022400271214699452,-1.0,False,0.09530436124709239,stock
2523,2026-01-15,A,85.0,NVDA,RISK_ON,LOSS,188.84966224271636,175.72780741749366,207.73462846698803,13.0,0.06680194330404476,-0.131167225746738,0.06669613964981291,-1.0,False,0.06948307277541227,stock
2614,2026-05-28,A,72.0,NVDA,,INCOMPLETE,,,,,,,,,,,stock
2626,2026-06-15,A,80.0,NVDA,,INCOMPLETE,,,,,,,,,,,stock
2198,2024-09-27,A,70.0,JNJ,RISK_ON,LOSS,153.81622409891565,148.67848842913446,169.19784650880723,30.0,0.03206036117239064,-0.10939294154253032,-0.09504330703853048,-1.0,False,0.03340177994798029,stock
2246,2024-12-05,C,75.0,JNJ,RISK_ON,LOSS,143.36188410827347,138.0512251835116,157.69807251910083,7.0,0.1470027024101117,-0.05830375748312555,0.11913551311343817,-1.0,True,0.03704372998300589,stock
2447,2025-09-26,B,70.0,JNJ,RISK_ON,WIN,176.73406344614986,170.8113615580902,194.40746979076485,36.0,0.2042279502944273,-0.0001668174330835548,0.16192122195238579,2.9840107907921367,True,0.03351194315669816,stock
2471,2025-10-30,A,75.0,JNJ,RISK_ON,WIN,184.23272445795735,177.43032467277084,202.6559969037531,16.0,0.24110672567023395,-0.012482642097596086,0.23874464260620099,2.708348969126431,True,0.03692286375941232,stock
2583,2026-04-14,A,90.0,JNJ,RISK_ON,LOSS,238.56797895805093,227.29387605913723,262.42477685385603,5.0,0.12936360467368924,-0.08156206459950055,0.03542816329049847,-1.0,True,0.04725740205434734,stock
2651,2026-07-22,A,70.0,JNJ,,INCOMPLETE,,,,,,,,,,,stock
2661,2026-08-05,A,80.0,JNJ,,INCOMPLETE,,,,,,,,,,,stock
2182,2024-09-05,A,75.0,META,RISK_ON,WIN,518.4001250490212,484.05683527822083,570.2401375539233,12.0,0.18488790675423084,-0.050356525600206314,0.1772159986279498,1.5094655419114216,True,0.06624861397854169,stock
2236,2024-11-20,A,75.0,META,RISK_ON,WIN,566.2621684175319,532.4168392215188,622.8883852592852,11.0,0.3019868364163447,-0.03594260260618998,0.1554121232304977,1.6730880800067278,True,0.05976971636759129,stock
2264,2025-01-02,A,75.0,META,RISK_ON,WIN,601.7855544308446,564.1016920663112,661.9641098739291,16.0,0.22513058648855644,-0.18208936209441584,-0.16466200918874319,1.596931727988748,True,0.06262008465818684,stock
2300,2025-02-26,A,80.0,META,RISK_ON,LOSS,679.0933865536915,629.9335250609602,747.0027252090607,4.0,0.009084932370329257,-0.2963193478714873,-0.05611748296812269,-1.0,False,0.07239042886606671,stock
2399,2025-07-21,A,82.0,META,RISK_ON,WIN,713.8503357336546,678.1204545685234,785.23536930702,16.0,0.11178600692304497,-0.03520560290750274,0.0016949014450216016,1.99790850810414,True,0.050052342033866326,stock
2407,2025-07-31,B,80.0,META,RISK_ON,LOSS,758.2447642610286,709.0898354133092,834.0692406871316,43.0,0.046692112776367534,-0.09169329385394354,-0.011242718610863678,-1.0,False,0.06482725785205379,stock
2423,2025-08-22,A,80.0,META,RISK_ON,LOSS,752.354165267511,704.5577220845049,827.5895817942621,30.0,0.047666996945973095,-0.22942911244549102,-0.2189560033968515,-1.0,False,0.06352917999199402,stock
2437,2025-09-12,A,90.0,META,RISK_ON,LOSS,754.995481759339,716.8478977116091,830.4950299352729,13.0,0.044001782803858136,-0.23212491876830166,-0.13772087193676485,-1.0,False,0.05052690376217344,stock
2451,2025-10-02,A,70.0,META,RISK_ON,LOSS,727.7372737109582,687.6862596395868,800.5110010820541,20.0,0.04047246046463071,-0.20336330454913742,-0.10784851134653739,-1.0,False,0.05503499067340458,stock
2016,2024-01-08,A,72.0,YPFD,RISK_ON,LOSS,16.649999618530273,14.817761743627294,18.3149995803833,6.0,0.3375375956753017,-0.12732732337120733,0.3063063362352145,-1.0,True,0.11004431933222555,stock
2027,2024-01-24,A,70.0,YPFD,RISK_ON,LOSS,16.75,15.076010051677521,18.425,10.0,0.32955226613514466,-0.10805972654428053,0.2035820804425139,-1.0,True,0.09993969840731223,stock
2039,2024-02-09,A,80.0,YPFD,RISK_ON,WIN,16.670000076293945,14.891779206555352,18.337000083923343,8.0,0.4859028400958778,-0.012597539943621672,0.366526729597348,0.937453854016712,True,0.10667191731254785,stock
2088,2024-04-22,A,70.0,YPFD,RISK_ON,WIN,20.969999313354492,18.826093970968472,23.066999244689942,9.0,0.1812113146798815,-0.0858368762994779,-0.023843586856084453,0.9781215102536339,True,0.10223678648480933,stock
2113,2024-05-28,A,80.0,YPFD,RISK_ON,LOSS,22.010000228881836,19.584398710415496,24.21100025177002,9.0,0.09450249441509095,-0.26487959396092353,-0.01908223861546421,-1.0,False,0.11020452036540329,stock
2200,2024-10-01,A,75.0,YPFD,RISK_ON,WIN,22.0,20.073931828026936,24.200000000000003,7.0,1.0895455100319604,-0.027272744612260258,0.932272650978782,1.142223329377964,True,0.08754855327150284,stock
